COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,MECS_NAICS,REPORTING_YEAR,STATE,Industry,Temperature Band,Label,Temp_degC,FUEL_TYPE,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group
KEARNEY,31099,1001677,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1001677,450,Natural Gas (Weighted U.S. Average),762.2176288,762.2176288,0.038372407,211727.28849280643,24.16978179141626,NG_Type
LINCOLN COUNTY,46083,1006030,325193,325193,2015,SD,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1006030,233,Natural Gas (Weighted U.S. Average),510.0377862,510.0377862,0.025676889,141677.27617506363,16.173205042815482,NG_Type
LINCOLN COUNTY,46083,1006030,325193,325193,2015,SD,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1006030,450,Natural Gas (Weighted U.S. Average),1123.4616102,1123.4616102,0.056558552,312072.9191581356,35.62476246097438,NG_Type
LOGAN,20109,1000405,325193,325193,2015,KS,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1000405,233,Natural Gas (Weighted U.S. Average),279.4974238,279.4974238,0.01407077,77638.2353883164,8.86281225894023,NG_Type
LOGAN,20109,1000405,325193,325193,2015,KS,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1000405,450,Natural Gas (Weighted U.S. Average),615.6497307,615.6497307,0.030993723,171013.95089438462,19.522140513057604,NG_Type
MADISON,31119,1007695,331111,331111,2015,NE,Iron and Steel Mills,100-300 C,Iron and Steel Mills_1007695,180,Natural Gas (Weighted U.S. Average),149.03822784,149.03822784,0.007503048,41399.54085293952,4.725974983212275,NG_Type
MADISON,31119,1007695,331111,331111,2015,NE,Iron and Steel Mills,850+ C,Iron and Steel Mills_1007695,1100,Natural Gas (Weighted U.S. Average),988.3587741,988.3587741,0.049757055,274544.3235519498,31.34067620456048,NG_Type
MADISON COUNTY,31119,1003954,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1003954,450,Natural Gas (Weighted U.S. Average)Other Biomass Gases,1112.774472,1117.464936759,0.056253206,310407.1752030416,35.4346090414431,NG_TypeNG_Type
MARSHALL COUNTY,40095,1004453,331111,331111,2015,OK,Iron and Steel Mills,100-300 C,Iron and Steel Mills_1004453,180,Natural Gas (Weighted U.S. Average),56.921546289999995,56.921546289999995,0.002865608,15811.553285343622,1.8049718362264406,NG_Type
MARSHALL COUNTY,40095,1004453,331111,331111,2015,OK,Iron and Steel Mills,850+ C,Iron and Steel Mills_1004453,1100,Natural Gas (Weighted U.S. Average),377.479728,377.479728,0.019003504,104855.56388438401,11.96981322881096,NG_Type
MAYES,40097,1005867,325311,325311,2015,OK,Nitrogenous Fertilizers,100-300 C,Nitrogenous Fertilizers_1005867,260,Natural Gas (Weighted U.S. Average),526.9168909,526.9168909,0.026526635,146365.9201204202,16.70843836991098,NG_Type
MAYES,40097,1005867,325311,325311,2015,OK,Nitrogenous Fertilizers,850+ C,Nitrogenous Fertilizers_1005867,850,Natural Gas (Weighted U.S. Average),1043.080376,1043.080376,0.052511911,289744.780684528,33.07588820599635,NG_Type
MAYES,40097,1006813,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1006813",150,Natural Gas (Weighted U.S. Average),217.46718807000002,217.46718807000002,0.010947974999999999,60407.60056770847,6.8958448136653505,NG_Type
MAYES,40097,1006813,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1006813",200,Natural Gas (Weighted U.S. Average),44.90864413,44.90864413,0.002260841,12474.633349143141,1.4240449028702216,NG_Type
MAYES,40097,1006813,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1006813",275,Natural Gas (Weighted U.S. Average),19.180694,19.180694,0.000965616,5327.974817932,0.608216303416895,NG_Type
MAYES,40097,1006813,322121,322121,2015,OK,"Paper Mills, except Newsprint",300-550 C,"Paper Mills, except Newsprint_1006813",505,Natural Gas (Weighted U.S. Average),208.036758,208.036758,0.010473217,57788.034563724,6.59680759859863,NG_Type
MAYES,40097,1006813,322121,322121,2015,OK,"Paper Mills, except Newsprint",550-850 C,"Paper Mills, except Newsprint_1006813",800,Natural Gas (Weighted U.S. Average),254.2118976,254.2118976,0.012797818,70614.4724915328,8.061012841499178,NG_Type
MCCURTAIN,40089,1006776,322130,322130,2015,OK,Paperboard Mills,100-300 C,Paperboard Mills_1006776,150,Natural Gas (Weighted U.S. Average),1244.4574213699998,1244.4574213699998,0.06264986500000001,345682.8935933159,39.46151753348355,NG_Type
MCCURTAIN,40089,1006776,322130,322130,2015,OK,Paperboard Mills,100-300 C,Paperboard Mills_1006776,200,Natural Gas (Weighted U.S. Average),331.383191869,331.383191869,0.016682856999999995,92050.96027098708,10.508100487555604,NG_Type
MCCURTAIN,40089,1006776,322130,322130,2015,OK,Paperboard Mills,100-300 C,Paperboard Mills_1006776,275,Natural Gas (Weighted U.S. Average),141.535326326,141.535326326,0.007125324,39315.39987618363,4.488059346596305,NG_Type
MCCURTAIN,40089,1006776,322130,322130,2015,OK,Paperboard Mills,300-550 C,Paperboard Mills_1006776,505,Natural Gas (Weighted U.S. Average),1535.1139239800002,1535.1139239800002,0.077282424,426420.87557531643,48.678182143300965,NG_Type
MCCURTAIN,40089,1006776,322130,322130,2015,OK,Paperboard Mills,550-850 C,Paperboard Mills_1006776,800,Natural Gas (Weighted U.S. Average),1153.450519372,1153.450519372,0.05806828399999999,320403.17837011546,36.575705293392176,NG_Type
MCPHERSON,20113,1007942,324110,324110,2015,KS,Petroleum Refineries,100-300 C,Petroleum Refineries_1007942,220,Fuel Gas,0.0,6994.944756618,0.392848401,1943041.7646038348,221.80842061687613,FuelGas_Type
MCPHERSON,20113,1007942,324110,324110,2015,KS,Petroleum Refineries,550-850 C,Petroleum Refineries_1007942,600,Fuel Gas,0.0,1917.6497970890002,0.10769858700000001,532680.9253357883,60.8083248100215,FuelGas_Type
MCPHERSON COUNTY,20113,1006338,325110,325110,2015,KS,Petrochemicals,100-300 C,Petrochemicals_1006338,220,Natural Gas (Weighted U.S. Average),36.58289934,36.58289934,0.001841697,10161.92461286652,1.1600370562633016,NG_Type
MCPHERSON COUNTY,20113,1006338,325110,325110,2015,KS,Petrochemicals,850+ C,Petrochemicals_1006338,875,Natural Gas (Weighted U.S. Average),78.62593291,78.62593291,0.003958274,21840.554391873982,2.4932139716751123,NG_Type
MERRICK,31121,1000344,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1000344,450,Natural Gas (Weighted U.S. Average)Other Biomass Gases,2404.614616,2413.811168717,0.121511989,670503.6388238708,76.54151128126378,NG_TypeNG_Type
MONTGOMERY,20125,1004381,324110,324110,2015,KS,Petroleum Refineries,100-300 C,Petroleum Refineries_1004381,220,Natural Gas (Weighted U.S. Average)Fuel Gas,16.216394778,1657.2065246399998,0.092977262,460335.5140014499,52.54971621021119,NG_TypeFuelGas_Type
MONTGOMERY,20125,1004381,324110,324110,2015,KS,Petroleum Refineries,550-850 C,Petroleum Refineries_1004381,600,Natural Gas (Weighted U.S. Average)Fuel Gas,149.22016801299998,9661.621248221001,0.5417454160000001,2683785.8270883327,306.3682451014079,NG_TypeFuelGas_Type
MONTGOMERY COUNTY,20125,1002170,325311,325311,2015,KS,Nitrogenous Fertilizers,100-300 C,Nitrogenous Fertilizers_1002170,260,Natural Gas (Weighted U.S. Average),337.6554909,337.6554909,0.016998628000000002,93793.26695122021,10.706993944203221,NG_Type
MONTGOMERY COUNTY,20125,1002170,325311,325311,2015,KS,Nitrogenous Fertilizers,850+ C,Nitrogenous Fertilizers_1002170,850,Natural Gas (Weighted U.S. Average),668.4200534,668.4200534,0.033650345,185672.3855933452,21.1954778074595,NG_Type
MORRILL COUNTY,31123,1002349,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1002349,233,Natural Gas (Weighted U.S. Average),281.4805006,281.4805006,0.014170604,78189.09049566681,8.92569526206242,NG_Type
MORRILL COUNTY,31123,1002349,325193,325193,2015,NE,Ethyl Alcohol,300-550 C,Ethyl Alcohol_1002349,450,Natural Gas (Weighted U.S. Average),620.0178594,620.0178594,0.031213628,172227.32094841322,19.66065307630288,NG_Type
MUSKOGEE COUNTY,40101,1001913,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1001913",150,Natural Gas (Weighted U.S. Average),544.569542885,544.569542885,0.027415323999999994,151269.43848350953,17.268200740126662,NG_Type
MUSKOGEE COUNTY,40101,1001913,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1001913",200,Natural Gas (Weighted U.S. Average),110.60433303900001,110.60433303900001,0.005568133,30723.450422907343,3.507243198962026,NG_Type
MUSKOGEE COUNTY,40101,1001913,322121,322121,2015,OK,"Paper Mills, except Newsprint",100-300 C,"Paper Mills, except Newsprint_1001913",275,Natural Gas (Weighted U.S. Average),47.239632998000005,47.239632998000005,0.002378145,13122.130774918445,1.4979601341231101,NG_Type
MUSKOGEE COUNTY,40101,1001913,322121,322121,2015,OK,"Paper Mills, except Newsprint",300-550 C,"Paper Mills, except Newsprint_1001913",505,Natural Gas (Weighted U.S. Average),512.3683271049999,512.3683271049999,0.025794215,142324.6491665727,16.247106069243458,NG_Type
MUSKOGEE COUNTY,40101,1001913,322121,322121,2015,OK,"Paper Mills, except Newsprint",550-850 C,"Paper Mills, except Newsprint_1001913",800,Natural Gas (Weighted U.S. Average),626.0918789159999,626.0918789159999,0.031519412999999996,173914.54994152865,19.853259125745282,NG_Type
PENNINGTON,46103,1002994,327410,327410,2015,SD,Lime,850+ C,Lime_1002994,1500,Natural Gas (Weighted U.S. Average),24.37873162,24.37873162,0.001227301,6771.875311940361,0.7730451269338312,NG_Type
PERKINS COUNTY,31135,1005476,325193,325193,2015,NE,Ethyl Alcohol,100-300 C,Ethyl Alcohol_1005476,233,Natural Gas (Weighted U.S. Average),283.1149435,283.1149435,0.014252887,78643.102775543,8.977523147893036,NG_Type
