,Month,Day,Hour,331111,325110,324110,322130,322121,311221,325199,325311,322110,325181,327410,212391,325211,325193
6650,10,5,2,1,0.7495049,0.77696985,1,1,0.2,0.74729913,0.194,1,1,1,1,0.196,0.69766927
6651,10,5,3,1,0.7495049,0.77696985,1,1,0.2,0.74729913,0.194,1,1,1,1,0.196,0.69766927
6652,10,5,4,1,0.7495049,0.77696985,1,1,0.2,0.74729913,0.194,1,1,1,1,0.196,0.69766927
6653,10,5,5,1,0.75735694,0.78136206,1,1,0.46666667,0.7642257,0.45266667,1,1,1,1,0.196,0.70906377
6654,10,5,6,1,0.76520896,0.78575426,1,1,0.73333335,0.7811523,0.71133333,1,1,1,1,0.196,0.7204581999999999
6655,10,5,7,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6656,10,5,8,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6657,10,5,9,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6658,10,5,10,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6659,10,5,11,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6660,10,5,12,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6661,10,5,13,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6662,10,5,14,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6663,10,5,15,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6664,10,5,16,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6665,10,5,17,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6666,10,5,18,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6667,10,5,19,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6668,10,5,20,1,0.773061,0.7901465,1,1,1.0,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6669,10,5,21,1,0.773061,0.7901465,1,1,0.73333335,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6670,10,5,22,1,0.773061,0.7901465,1,1,0.46666667,0.7980789,0.97,1,1,1,1,0.196,0.7318526999999999
6671,10,5,23,1,0.773061,0.7901465,1,1,0.2,0.7772559,0.71133333,1,1,1,1,0.196,0.7318526999999999
6672,10,6,0,1,0.76443326,0.7864959,1,1,0.2,0.75643295,0.45266667,1,1,1,1,0.196,0.7211972
6673,10,6,1,1,0.7558056,0.7828453000000001,1,1,0.2,0.73560995,0.194,1,1,1,1,0.196,0.7105416
6674,10,6,2,1,0.74717796,0.7791946999999999,1,1,0.2,0.73560995,0.194,1,1,1,1,0.196,0.6998861
6675,10,6,3,1,0.74717796,0.7791946999999999,1,1,0.2,0.73560995,0.194,1,1,1,1,0.196,0.6998861
6676,10,6,4,1,0.74717796,0.7791946999999999,1,1,0.2,0.73560995,0.194,1,1,1,1,0.196,0.6998861
6677,10,6,5,1,0.75334024,0.78284895,1,1,0.2,0.7470088,0.194,1,1,1,1,0.196,0.7122633
6678,10,6,6,1,0.75950253,0.78650326,1,1,0.2,0.75840765,0.194,1,1,1,1,0.196,0.7246405
6679,10,6,7,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.45266667,1,1,1,1,0.196,0.7370177
6680,10,6,8,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.71133333,1,1,1,1,0.196,0.7370177
6681,10,6,9,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.97,1,1,1,1,0.196,0.7370177
6682,10,6,10,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.97,1,1,1,1,0.196,0.7370177
6683,10,6,11,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.97,1,1,1,1,0.196,0.7370177
6684,10,6,12,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.97,1,1,1,1,0.196,0.7370177
6685,10,6,13,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.97,1,1,1,1,0.196,0.7370177
6686,10,6,14,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.97,1,1,1,1,0.196,0.7370177
6687,10,6,15,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.97,1,1,1,1,0.196,0.7370177
6688,10,6,16,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.97,1,1,1,1,0.196,0.7370177
6689,10,6,17,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.71133333,1,1,1,1,0.196,0.7370177
6690,10,6,18,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.45266667,1,1,1,1,0.196,0.7370177
6691,10,6,19,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.194,1,1,1,1,0.196,0.7370177
6692,10,6,20,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.194,1,1,1,1,0.196,0.7370177
6693,10,6,21,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.194,1,1,1,1,0.196,0.7370177
6694,10,6,22,1,0.76566476,0.7901575,1,1,0.2,0.7698065,0.194,1,1,1,1,0.196,0.7370177
6695,10,6,23,1,0.74717796,0.7791946999999999,1,1,0.2,0.73560995,0.194,1,1,1,1,0.196,0.6998861
6696,10,0,0,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6697,10,0,1,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6698,10,0,2,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6699,10,0,3,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6700,10,0,4,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6701,10,0,5,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.45266667,1,1,1,1,0.45733333,0.7247238
