,Date,HourEnding,Settlement Point Price
250,2021/01/11,11,23.5712
251,2021/01/11,12,25.0704
252,2021/01/11,13,27.9945
253,2021/01/11,14,30.1074
254,2021/01/11,15,26.66
255,2021/01/11,16,25.1936
256,2021/01/11,17,24.8358
257,2021/01/11,18,23.0178
258,2021/01/11,19,19.6195
259,2021/01/11,20,20.1378
260,2021/01/11,21,19.5269
261,2021/01/11,22,20.5775
262,2021/01/11,23,22.0092
263,2021/01/11,24,29.9609
264,2021/01/12,1,22.7921
265,2021/01/12,2,27.2757
266,2021/01/12,3,28.0441
267,2021/01/12,4,15.3352
268,2021/01/12,5,17.1521
269,2021/01/12,6,16.7026
270,2021/01/12,7,17.6738
271,2021/01/12,8,21.5554
272,2021/01/12,9,19.1774
273,2021/01/12,10,20.7833
274,2021/01/12,11,20.7132
275,2021/01/12,12,22.1808
276,2021/01/12,13,24.0565
277,2021/01/12,14,27.0541
278,2021/01/12,15,28.3944
279,2021/01/12,16,25.1224
280,2021/01/12,17,26.9148
281,2021/01/12,18,25.9185
282,2021/01/12,19,23.0288
283,2021/01/12,20,23.38
284,2021/01/12,21,22.2857
285,2021/01/12,22,22.5209
286,2021/01/12,23,26.5044
287,2021/01/12,24,24.1652
288,2021/01/13,1,24.1397
289,2021/01/13,2,39.3639
290,2021/01/13,3,58.4195
291,2021/01/13,4,34.7985
292,2021/01/13,5,29.7536
293,2021/01/13,6,6.0394
294,2021/01/13,7,53.5205
295,2021/01/13,8,37.3532
296,2021/01/13,9,49.9719
297,2021/01/13,10,44.7594
298,2021/01/13,11,43.9396
299,2021/01/13,12,41.9362
300,2021/01/13,13,36.6507
301,2021/01/13,14,28.7081
302,2021/01/13,15,13.7568
303,2021/01/13,16,15.992
304,2021/01/13,17,20.6278
305,2021/01/13,18,22.6082
306,2021/01/13,19,20.3765
307,2021/01/13,20,18.0949
308,2021/01/13,21,18.2972
309,2021/01/13,22,19.0945
310,2021/01/13,23,95.6044
311,2021/01/13,24,22.8035
312,2021/01/14,1,17.2151
313,2021/01/14,2,8.0794
314,2021/01/14,3,0.7413
315,2021/01/14,4,8.0636
316,2021/01/14,5,5.9177
317,2021/01/14,6,10.5441
318,2021/01/14,7,19.729
319,2021/01/14,8,65.5354
320,2021/01/14,9,19.9877
321,2021/01/14,10,17.9087
322,2021/01/14,11,-15.7289
