,COUNTY,COUNTY_FIPS,FACILITY_ID,FINAL_NAICS_CODE,FUEL_TYPE,MECS_NAICS,REPORTING_YEAR,STATE,Temp_degC,Industry,Label,Natural_gas,Total,MMTCO2E,Thermal MWh,Thermal MWh/hr,Fuel_group
0,MAYES,40097,1006813,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,505,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006813",208.03675800000002,208.03675800000002,0.010473217,57788.03456372401,6.596807598598631,NG_Type
0,MAYES,40097,1006813,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,150,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006813",217.46718807,217.46718807,0.010947974999999999,60407.60056770846,6.89584481366535,NG_Type
0,TULSA COUNTY,40143,1006052,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,800,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006052",653.0280005,653.0280005,0.032875461,181396.811922889,20.70739862133436,NG_Type
0,TULSA COUNTY,40143,1006052,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,275,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006052",49.27200643,49.27200643,0.002480506,13686.67940211254,1.562406324442071,NG_Type
0,TULSA COUNTY,40143,1006052,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,200,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006052",115.3628227,115.3628227,0.005807723000000001,32045.254163960602,3.658134036981804,NG_Type
0,TULSA COUNTY,40143,1006052,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,505,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006052",534.4117620000001,534.4117620000001,0.02690395,148447.83042483602,16.946099363565757,NG_Type
0,TULSA COUNTY,40143,1006052,322121,Natural Gas (Weighted U.S. Average),322121,2015,OK,150,"Paper Mills, except Newsprint","Paper Mills, except Newsprint_1006052",558.6369652999999,558.6369652999999,0.028123523,155177.0589471034,17.714276135514087,NG_Type
0,WASHINGTON,31177,1006425,311221,Natural Gas (Weighted U.S. Average),311221,2015,NE,149,Wet Corn Milling,Wet Corn Milling_1006425,7147.487370578,7147.487370578,0.359826747,1985414.7468244159,226.6455190438831,NG_Type
0,WASHINGTON,31177,1006425,311221,Natural Gas (Weighted U.S. Average),311221,2015,NE,50,Wet Corn Milling,Wet Corn Milling_1006425,2896.412866,2896.412866,0.14581443300000002,804559.7730917481,91.844722955679,NG_Type
0,GAGE COUNTY,31067,1006575,325311,Natural Gas (Weighted U.S. Average),325311,2015,NE,850,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1006575,2143.495065,2143.495065,0.107910209,595415.7721655701,67.96983700520207,NG_Type
0,GAGE COUNTY,31067,1006575,325311,Natural Gas (Weighted U.S. Average),325311,2015,NE,260,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1006575,1082.7964763999998,1082.7964763999998,0.054511342000000004,300777.0396214392,34.33527849559808,NG_Type
0,MAYES,40097,1005867,325311,Natural Gas (Weighted U.S. Average),325311,2015,OK,850,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1005867,1043.080376,1043.080376,0.052511910999999994,289744.780684528,33.07588820599635,NG_Type
0,MAYES,40097,1005867,325311,Natural Gas (Weighted U.S. Average),325311,2015,OK,260,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1005867,526.9168909,526.9168909,0.026526635,146365.92012042023,16.708438369910983,NG_Type
0,MONTGOMERY COUNTY,20125,1002170,325311,Natural Gas (Weighted U.S. Average),325311,2015,KS,850,Nitrogenous Fertilizers,Nitrogenous Fertilizers_1002170,668.4200534,668.4200534,0.033650345,185672.3855933452,21.1954778074595,NG_Type
